      tty                sd0                 cd0                cpu
 tin tout  KB/t  t/s    MB/s   KB/t  t/s    MB/s  us ni sy sp in id
   0  315 15.86   22    0.35   0.00    0    0.00   2  0  2  1  0 95
   0   24 12.17   24    0.29   0.00    0    0.00   1  0 18 13  0 68
   0  514 11.13   23    0.25   0.00    0    0.00   1  0 19 14  0 66
   0   24 10.75    8    0.08   0.00    0    0.00   0  0 18  9  0 73
   0  180 10.32   25    0.25   0.00    0    0.00   0  0 17 12  0 71
   0   24  7.60    5    0.04   0.00    0    0.00   2  0 15 10  0 73
   0  526  8.65   31    0.26   0.00    0    0.00   1  0 17 12  0 70
   0   24 14.25   24    0.34   0.00    0    0.00   1  0 14 11  0 74
   0    0  9.38   12    0.11   0.00    0    0.00   1  0 17 25  0 57
   0  212  9.00    4    0.04   0.00    0    0.00   1  0 16 10  0 72
   0   27 14.00   21    0.29   0.00    0    0.00   1  0 17  7  0 75
   0  109 14.65   83    1.19   0.00    0    0.00   0  0 19 10  0 71
   0  101  9.78    9    0.09   0.00    0    0.00   4  0 16  7  0 73
   0   24 10.13   15    0.15   0.00    0    0.00   0  0 18  9  0 73
   0  306  8.00   14    0.11   0.00    0    0.00   1  0 15 12  0 72
   0   24 12.50   12    0.15   0.00    0    0.00   1  0 15 10  0 74
   0  176 12.62   29    0.35   0.00    0    0.00   0  0 18 10  0 72
   0    0 10.91   10    0.11   0.00    0    0.00   1  0 17  8  0 74
   0   26 13.54   43    0.57   0.00    0    0.00   0  0 22  8  0 70
   0  333  9.00   18    0.16   0.00    0    0.00   1  0 14 10  0 75
      tty                sd0                 cd0                cpu
 tin tout  KB/t  t/s    MB/s   KB/t  t/s    MB/s  us ni sy sp in id
   0   24  9.00   14    0.12   0.00    0    0.00   1  0 18  9  0 72
   0  267  9.00    8    0.07   0.00    0    0.00   0  0 15 12  0 73
   0   24 11.62   16    0.18   0.00    0    0.00   2  0 15 10  0 73
   0  273 12.65   34    0.42   0.00    0    0.00   0  0 17 10  0 73
   0   24  9.78    9    0.09   0.00    0    0.00   2  0 14 12  0 72
   0  150 10.40   20    0.20   0.00    0    0.00   0  0 19  9  0 72
   0   24  6.67    9    0.06   0.00    0    0.00   0  0 17  9  0 74
   0  184  9.20   15    0.13   0.00    0    0.00   1  0 18  8  0 73
   0    0 11.69   13    0.15   0.00    0    0.00   1  0 17  8  0 74
   0   24 13.03   35    0.45   0.00    0    0.00   0  0 14 14  0 72
   0  171 10.17   23    0.23   0.00    0    0.00   1  0 18  9  0 72
   0    0  5.33    6    0.03   0.00    0    0.00   5  0 14  9  0 72
   0    0  8.00    1    0.01   0.00    0    0.00   2  0 14 12  0 72
   0    0 13.81   43    0.58   0.00    0    0.00   2  0 15 11  0 72
   0    0  8.67    6    0.05   0.00    0    0.00   1  0 15  9  0 75
   0   24 13.22   51    0.66   0.00    0    0.00   0  0 19  9  0 72
   0  143 15.16   38    0.56   0.00    0    0.00   1  0 18  8  0 73
   0   24  8.40   25    0.21   0.00    0    0.00   3  0 14 10  0 73
   0   40 11.26   19    0.21   0.00    0    0.00   0  0 19  9  0 72
   0  287  9.90   20    0.20   0.00    0    0.00   2  0 15 10  0 73
      tty                sd0                 cd0                cpu
 tin tout  KB/t  t/s    MB/s   KB/t  t/s    MB/s  us ni sy sp in id
   0   25 12.70   39    0.48   0.00    0    0.00   0  0 18 10  0 72
   0  193  9.00   10    0.09   0.00    0    0.00   0  0 15 10  0 74
   0   23 11.10   19    0.21   0.00    0    0.00   1  0 19  9  0 71
   0  341  8.86    7    0.06   0.00    0    0.00   0  0 17 11  0 72
   0  248  8.00    6    0.05   0.00    0    0.00   1  0 16 10  0 73
   0 1992  6.80    5    0.03   0.00    0    0.00   0  0 42 32  0 27
   0    0 16.00    1    0.02   0.00    0    0.00   1  0 42 31  0 26
   0    0  9.67   12    0.11   0.00    0    0.00   1  0 49 33  0 16
   0    0  8.46   13    0.11   0.00    0    0.00   3  0 53 36  0  8
   0  511  9.54   13    0.12   0.00    0    0.00   7  0 52 30  0 11
   0  514  8.75    8    0.07   0.00    0    0.00   0  0 56 39  0  5
   0  518 14.33   48    0.68   0.00    0    0.00   0  0 59 33  0  8
   0    0  9.75    8    0.08   0.00    0    0.00   2  0 53 36  0  9
   0  498  7.40   10    0.07   0.00    0    0.00   2  0 53 35  0 10
   0    0  9.00   10    0.09   0.00    0    0.00   4  0 58 32  0  5
   0  508  2.00    1    0.00   0.00    0    0.00   3  0 53 32  0 12
   0  510  7.80   10    0.08   0.00    0    0.00   3  0 53 37  0  7
   0  508  9.43    7    0.06   0.00    0    0.00   3  0 50 40  0  8
   0    0  7.69   13    0.10   0.00    0    0.00   5  0 49 32  0 13
   0  516  8.00    3    0.02   0.00    0    0.00   3  0 55 34  0  8
      tty                sd0                 cd0                cpu
 tin tout  KB/t  t/s    MB/s   KB/t  t/s    MB/s  us ni sy sp in id
   0  572  7.56    9    0.07   0.00    0    0.00   2  0 51 35  0 12
   0  565  9.00    2    0.02   0.00    0    0.00   3  0 55 32  0 10
   0    0 12.64   28    0.35   0.00    0    0.00   3  0 51 39  0  7
   0  572  0.00    0    0.00   0.00    0    0.00   6  0 54 32  0  8
   0    0  8.63   19    0.16   0.00    0    0.00   2  0 57 35  0  6
   0 1133  9.78    9    0.09   0.00    0    0.00   5  0 48 36  0 12
   0    0 11.33    6    0.07   0.00    0    0.00   2  0 61 29  0  8
   0  554  8.00   10    0.08   0.00    0    0.00   1  0 54 39  0  6
   0  580  6.40    5    0.03   0.00    0    0.00   0  0 49 35  0 15
   0    0  9.53   17    0.16   0.00    0    0.00   1  0 52 32  0 15
   0  568  8.80   10    0.09   0.00    0    0.00   3  0 50 35  0 12
   0 1169  7.14    7    0.05   0.00    0    0.00   0  0 51 37  0 12
   0  568  8.50    4    0.03   0.00    0    0.00   1  0 60 30  0  9
   0    0 12.56   18    0.22   0.00    0    0.00   3  0 49 26  0 22
   0    0  9.00    8    0.07   0.00    0    0.00   2  0 56 26  0 16
   0  579  6.67    9    0.06   0.00    0    0.00   1  0 60 36  0  3
   0 1159  7.60    5    0.04   0.00    0    0.00   0  0 55 38  0  7
   0  575  5.50    4    0.02   0.00    0    0.00   1  0 58 26  0 15
   0    0  8.22    9    0.07   0.00    0    0.00   2  0 50 30  0 18
   0  573  9.00    4    0.04   0.00    0    0.00   4  0 54 32  0 10
      tty                sd0                 cd0                cpu
 tin tout  KB/t  t/s    MB/s   KB/t  t/s    MB/s  us ni sy sp in id
   0    0  6.67    9    0.06   0.00    0    0.00   8  0 53 29  0 10
   0  536  8.93   14    0.12   0.00    0    0.00   1  0 54 36  0  9
   0 1249  7.60    5    0.04   0.00    0    0.00   1  0 52 33  0 14
